contactId,primaryMobileNumber,secondaryMobileNumber,primaryEmail,secondaryEmail
1,5551234567,5559876543,siddharth@example.com,sid@example.com
2,5552345678,5558765432,sushant@example.com,sushantpawar@example.com
3,5553456789,5557654321,garima@example.com,garima.gupta@example.com
4,5554567890,5556543210,ritvik@example.com,ritvik.b@example.com
5,5555678901,5555432109,abhishek@example.com,abhishek.alt@example.com
6,9087654321,807654321,ronit@example.com,ronit.alt@example.com
7,9807654321,7098654321,prakash@example.com,prakash.alt@example.com
8,9807654321,7098654321,prakash@example.com,prakash.alt@example.com
9,7098654321,904512749,ram@example.com,ram.alt@example.com
12,9087654321,809765432,sid@example.com,sid.alt@example.com
13,9012348112,8063441132,abhi@example.com,abhi.alt@example.com
13,9012348112,8063441132,abhi@example.com,abhi.alt@example.com
14,413123123,134123134,sid@example.com,sid@eds.com
15,123324123,234234234,shyam@asd.com,shyam@dsa.com
16,1324123123,234123123,ram@esd.com,ram@ads.com
17,123124124,123124124,abhay@wae.com,abhay@asd.com
